team_name,player_name,starting_position,xT_value,minutes_played
Santos FC,Mayke,DR,0.0755103530173693,551
Sao Paulo,Ruan Tressoldi,Sub,0.0754042064988738,418
Corinthians,Ryan Gustavo,Sub,0.0737095076566134,365
Vitoria,Ramon,Sub,0.07245134749737048,659
Ceara,Lelê,Sub,0.0724115871465049,157
Sport Recife,Ignacio Ramírez,Sub,0.0722294819518772,252
Juventude,Lucas Fernandes,Sub,0.07165076907921558,73
Red Bull Bragantino,Davi Gomes,Sub,0.07046562674649633,167
Internacional,Gabriel Mercado,Sub,0.07028170343593755,99
Sport Recife,Hyoran,Sub,0.07027222595279922,56
Sport Recife,Kevyson,Sub,0.06924695335195111,226
Juventude,Cipriano,Sub,0.06898867605817777,109
Vasco da Gama,Juan Sforza,Sub,0.06828095248522428,84
Fluminense,Germán Cano,FW,0.06721558978786757,955
Juventude,Daniel Giraldo,MC,0.06682002997236201,722
Juventude,Giovanny,Sub,0.0662142287407844,428
Red Bull Bragantino,Eric Ramires,Sub,0.06506775916938995,1431
Botafogo RJ,Elias Manoel,Sub,0.06256045789400985,37
